Locality code,Locality name,latitude (N),longitude(E),Shannon+AC0-Wiener Diversity Index,number of species per locality,number of individuals per locality
L1,Stejanovci,45.048797,19.719194,2.653,21,107
L2,?enej,45.338353,19.832103,2.122,15,220
L3,Kovilj I,45.208489,20.0682,2.081,16,200
L4,?u?evo,45.3484,20.072508,2.078,14,122
L5,Besnovo,45.073392,19.702358,2.076,15,135
L6,Rivica,45.078625,19.835972,2.052,13,55
L7,Kru?edol,45.122011,19.944517,1.955,15,154
L8,?ortanovci,45.150753,20.028672,1.867,16,156
L9,Vilovo,45.234794,20.18165,1.861,10,42
L10,Kovilj II,45.215519,20.039075,1.85,13,183
L11,Sajkas,45.271656,20.12055,1.833,11,123
L12,?uljam,45.094031,19.677281,1.695,8,108
L13,Neradin I,45.122572,19.895158,1.692,9,187
L14,Neradin II,45.105592,19.915233,1.603,17,159
L15,Jazak,45.085972,19.766475,1.485,14,143
L16,Budisava,45.285725,19.978558,1.478,16,413
